,Average (Mean) Duration of Unemployment,Average Weekly Hours of All Employees: Total Private,"Commercial and Industrial Loans, All Commercial Banks",Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,New Private Housing Units Authorized by Building Permits,US Recession in 13 Weeks,Value of Manufacturers' New Orders for Consumer Goods: Consumer Durable Goods Industries,"Vendor Performance, Percent Reporting Slower Deliveries for United States",month
1946-02-01,,,,,,0.0,,,1946-02-01
1946-03-01,,,,,,0.0,,,1946-03-01
1946-04-01,,,,,,0.0,,,1946-04-01
1946-05-01,,,,,,0.0,,,1946-05-01
1946-06-01,,,,,,0.0,,,1946-06-01
1946-07-01,,,,,,0.0,,,1946-07-01
1946-08-01,,,,,,0.0,,,1946-08-01
1946-09-01,,,,,,0.0,,,1946-09-01
1946-10-01,,,,,,0.0,,,1946-10-01
1946-11-01,,,,,,0.0,,,1946-11-01
1946-12-01,,,,,,0.0,,,1946-12-01
1947-01-01,,,,,,0.0,,,1947-01-01
1947-02-01,,,,,,0.0,,,1947-02-01
1947-03-01,,,,,,0.0,,,1947-03-01
1947-04-01,,,,,,0.0,,,1947-04-01
1947-05-01,,,,,,0.0,,,1947-05-01
1947-06-01,,,,,,0.0,,,1947-06-01
1947-07-01,,,,,,0.0,,,1947-07-01
1947-08-01,,,,,,0.0,,,1947-08-01
1947-09-01,,,,,,0.0,,,1947-09-01
1947-10-01,,,,,,0.0,,,1947-10-01
1947-11-01,,,,,,0.0,,,1947-11-01
1947-12-01,,,,,,0.0,,,1947-12-01
1948-01-01,,,,,,0.0,,,1948-01-01
1948-02-01,,,,,,0.0,,,1948-02-01
1948-03-01,,,,,,0.0,,,1948-03-01
1948-04-01,,,,,,0.0,,,1948-04-01
1948-05-01,,,,,,0.0,,,1948-05-01
1948-06-01,,,,,,0.0,,,1948-06-01
1948-07-01,,,,,,0.0,,,1948-07-01
1948-08-01,,,,,,0.0,,,1948-08-01
1948-09-01,,,,,,0.0,,,1948-09-01
1948-10-01,,,,,,0.0,,,1948-10-01
1948-11-01,,,,,,0.0,,,1948-11-01
1948-12-01,,,,,,1.0,,,1948-12-01
1949-01-01,,,,,,1.0,,,1949-01-01
1949-02-01,,,,,,1.0,,,1949-02-01
1949-03-01,,,,,,1.0,,,1949-03-01
1949-04-01,,,,,,1.0,,,1949-04-01
1949-05-01,,,,,,1.0,,,1949-05-01
1949-06-01,,,,,,1.0,,,1949-06-01
1949-07-01,,,,,,1.0,,,1949-07-01
1949-08-01,,,,,,1.0,,,1949-08-01
1949-09-01,,,,,,1.0,,,1949-09-01
1949-10-01,,,,,,1.0,,,1949-10-01
1949-11-01,,,,,,0.0,,,1949-11-01
1949-12-01,,,,,,0.0,,,1949-12-01
1950-01-01,,,,,,0.0,,,1950-01-01
1950-02-01,,,,,,0.0,,,1950-02-01
1950-03-01,,,,,,0.0,,,1950-03-01
1950-04-01,,,,,,0.0,,,1950-04-01
1950-05-01,,,,,,0.0,,,1950-05-01
1950-06-01,,,,,,0.0,,,1950-06-01
1950-07-01,,,,,,0.0,,,1950-07-01
1950-08-01,,,,,,0.0,,,1950-08-01
1950-09-01,,,,,,0.0,,,1950-09-01
1950-10-01,,,,,,0.0,,,1950-10-01
1950-11-01,,,,,,0.0,,,1950-11-01
