,Average Weekly Hours of All Employees: Total Private,Value of Manufacturers' New Orders for Consumer Goods: Consumer Durable Goods Industries,"Vendor Performance, Percent Reporting Slower Deliveries for United States",Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,New Private Housing Units Authorized by Building Permits,Average (Mean) Duration of Unemployment,"Commercial and Industrial Loans, All Commercial Banks",month
1946-01-01,,,91.0,,,,,1946-01-01
1946-02-01,,,82.0,,,,,1946-02-01
1946-03-01,,,78.0,,,,,1946-03-01
1946-04-01,,,82.0,,,,,1946-04-01
1946-05-01,,,86.0,,,,,1946-05-01
1946-06-01,,,81.0,,,,,1946-06-01
1946-07-01,,,69.0,,,,,1946-07-01
1946-08-01,,,71.0,,,,,1946-08-01
1946-09-01,,,73.0,,,,,1946-09-01
1946-10-01,,,60.0,,,,,1946-10-01
1946-11-01,,,49.0,,,,,1946-11-01
1946-12-01,,,38.0,,,,,1946-12-01
1947-01-01,,,37.0,,,,11.2894,1947-01-01
1947-02-01,,,42.0,,,,11.5179,1947-02-01
1947-03-01,,,34.0,,,,11.7667,1947-03-01
1947-04-01,,,25.0,,,,12.0269,1947-04-01
1947-05-01,,,20.0,,,,12.2788,1947-05-01
1947-06-01,,,24.0,,,,12.4832,1947-06-01
1947-07-01,,,22.0,,,,12.78,1947-07-01
1947-08-01,,,25.0,,,,13.0822,1947-08-01
1947-09-01,,,30.0,,,,13.3523,1947-09-01
1947-10-01,,,31.0,,,,13.6287,1947-10-01
1947-11-01,,,38.0,,,,13.8998,1947-11-01
1947-12-01,,,41.0,,,,14.2053,1947-12-01
1948-01-01,,,35.0,,,8.9,14.4049,1948-01-01
1948-02-01,,,34.0,,,8.4,14.5635,1948-02-01
1948-03-01,,,26.0,,,8.7,14.7454,1948-03-01
1948-04-01,,,36.0,,,8.5,14.9301,1948-04-01
1948-05-01,,,31.0,,,9.1,15.0976,1948-05-01
1948-06-01,,,30.0,,,8.8,15.2158,1948-06-01
1948-07-01,,,36.0,,,8.6,15.2705,1948-07-01
1948-08-01,,,36.0,,,8.8,15.212,1948-08-01
1948-09-01,,,38.0,,,8.5,15.1478,1948-09-01
1948-10-01,,,38.0,,,9.5,15.0945,1948-10-01
1948-11-01,,,32.0,,,7.8,15.0462,1948-11-01
1948-12-01,,,17.0,,,8.1,15.0348,1948-12-01
1949-01-01,,,16.0,,,8.2,14.9254,1949-01-01
1949-02-01,,,12.0,,,8.3,14.7874,1949-02-01
1949-03-01,,,10.0,,,8.3,14.6621,1949-03-01
1949-04-01,,,14.0,,,8.8,14.5149,1949-04-01
1949-05-01,,,12.0,,,9.1,14.3455,1949-05-01
1949-06-01,,,12.0,,,10.0,14.1386,1949-06-01
1949-07-01,,,22.0,,,10.8,14.0212,1949-07-01
1949-08-01,,,38.0,,,11.0,13.923,1949-08-01
1949-09-01,,,53.0,,,11.7,13.8246,1949-09-01
1949-10-01,,,60.0,,,10.9,13.7376,1949-10-01
1949-11-01,,,58.0,,,11.6,13.6548,1949-11-01
1949-12-01,,,50.0,,,11.8,13.5957,1949-12-01
1950-01-01,,,54.0,,,11.3,13.6493,1950-01-01
1950-02-01,,,62.0,,,11.8,13.7957,1950-02-01
1950-03-01,,,60.0,,,12.4,13.9531,1950-03-01
1950-04-01,,,60.0,,,12.6,14.1119,1950-04-01
1950-05-01,,,66.0,,,12.7,14.2519,1950-05-01
1950-06-01,,,64.0,,,13.1,14.388,1950-06-01
1950-07-01,,,88.0,,,12.5,14.7712,1950-07-01
1950-08-01,,,94.0,,,12.2,15.2975,1950-08-01
1950-09-01,,,96.0,,,12.2,15.8075,1950-09-01
1950-10-01,,,88.0,,,12.3,16.3104,1950-10-01
1950-11-01,,,87.0,,,10.7,16.8092,1950-11-01
1950-12-01,,,84.0,,,10.7,17.3061,1950-12-01
1951-01-01,,,84.0,,,10.6,17.7542,1951-01-01
1951-02-01,,,85.0,,,10.8,18.1862,1951-02-01
1951-03-01,,,74.0,,,10.1,18.6363,1951-03-01
1951-04-01,,,58.0,,,10.6,19.1031,1951-04-01
1951-05-01,,,46.0,,,9.9,19.5512,1951-05-01
1951-06-01,,,38.0,,,8.7,20.0031,1951-06-01
1951-07-01,,,34.0,,,9.2,20.2509,1951-07-01
1951-08-01,,,38.0,,,9.1,20.3672,1951-08-01
1951-09-01,,,50.0,,,9.1,20.4775,1951-09-01
1951-10-01,,,50.0,,,8.9,20.6053,1951-10-01
1951-11-01,,,34.0,,,9.7,20.7329,1951-11-01
1951-12-01,,,31.0,,,9.3,20.9657,1951-12-01
1952-01-01,,,28.0,,,9.3,22.1319,1952-01-01
